Útvar městské části (okres) PČR;Základní útvar PČR, kde došlo k činu;Stadium TČ, 1-příparava, 2-pokus, 3-dokonaný;Druh TČ, 11-zločin, 18-přečin;Takticko-statistická klasifikace činu;Spácháno na ulici-1, ne-2;Čin spáchán na : viz číselník;Použití zbraně : viz číselník;Druh použité zbraně : viz číselník;Datum spáchání činu, či zahájení konání;Datum ukončení konání činu (pokud jiné datum);Předmět zájmu pachatele č. 1;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 2;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 3;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Celková způsobená škoda v Kč;Hlavní kvalifikace činu - paragraf TZ;První odstavec ;Druhý odstavec;Souběhový paragraf;Odstavec souběhu;Druhý souběhový paragraf;Odstavec souběhu;Datum zahájení trestního řízení;Datum ukončení trestního řízení;Způsob ukončení trestního řízení;"Způsob ukončení trestního řízení - text (kde je kód ""0"" tam ještě řízení nemusí být ukončeno"
Brno - město;OOP BRNO - STŘED;3;18;151;2;6;0;0;14.07.2016;14.07.2016;620;bez vztahu;0;nic;0;nic;32071;146;1;;358;1;;;17.08.2016;06.12.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;15.09.2016;15.09.2016;620;bez vztahu;0;nic;0;nic;2200;146;1;;358;1;;;15.09.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;04.08.2016;04.08.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;15.10.2016;28.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;12.11.2016;12.11.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;12.11.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;08.10.2016;08.10.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;08.11.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;151;2;6;0;0;30.09.2016;30.09.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;;;;;31.10.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;151;1;1;0;0;06.10.2016;02.01.1900;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;09.11.2016;24.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;18.01.2016;02.01.1900;628;bývalý/á přítel/přítelkyně;0;nic;0;nic;0;146;1;;;;;;16.10.2016;26.10.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;28.09.2016;28.09.2016;620;bez vztahu;0;nic;0;nic;0;146;1;2a;358;1;;;03.10.2016;02.12.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;1;11;151;2;0;0;0;02.08.2016;02.01.1900;620;bez vztahu;0;nic;0;nic;0;145;1;2h;;;;;08.08.2016;13.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;2;18;151;2;6;0;0;05.03.2016;05.03.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;07.03.2016;04.05.2016;5;odloženo podle § 159a/5 tr. řádu
